14120;LEGRFRP1XXX;LEGAL AND GENERAL BANK (FRANCE)
14139;NBPAFRPPXXX;NATIONAL BANK OF PAKISTAN
14148;EHYPFRP1XXX;HYPOTHEKENBANK FRANKFURT AG
14150;ROBOFRP1XXX;BANQUE ODDO
14158;CEFNNCN1;CENTRE FINANCIER DE NOUMEA
14168;OFTPPFT1XXX;OFFICE POSTES ET TELECOM DE POLYNESIE FR
14173;RJEEFRP1;RAYMOND JAMES EURO EQUITIES
14198;SORAFR21XXX;SOGELEASE FRANCE
14218;CLAAFRP1XXX;CLAAS FINANCIAL SERVICES
14228;SGFIFR21XXX;SGB FINANCE
14238;NOUCNCN1XXX;NOUMEA CREDIT
14265;CEPAFRPP426;CAISSE D EPARGNE LOIRE DROME ARDECHE
14288;RBFAFRP1XXX;GE FACTOR
14318;BRGEFRPPXXX;BRED GESTION
14328;SEGFFRP1XXX;AMUNDI FINANCE
14378;SFPMFRP1XXX;STE FIRE DU PORTE MONNAIE ELECTR INTERBA
14380;FACEFR21XXX;FACET
14388;DXMAFRPPXXX;CAISSE FRANCAISE DE FINANCEMENT LOCAL
14398;HSLFFRP1XXX;HSBC LEASING (FRANCE)
14406;AGRIFRPP844;CREDIT AGRICOLE VAL DE FRANCE
14408;HRELFRP1XXX;HSBC REAL ESTATE LEASING (FRANCE)
14410;DEFOFRP1XXX;DEXIA FLOBAIL
14445;CEPAFRPP444;CAISSE D EPARGNE BRETAGNE PAYS DE LOIRE
14448;CFODFR21XXX;CIT FCIER CMUNAL ALSACE LORRAINE SCF
14478;MMSEMCM1XXX;MARTIN MAUREL SELLA BQUE PRIVEE MONACO
14500;PORZFR21XXX;PORTZAMPARC SOCIETE DE BOURSE
14505;CEPAFRPP450;CAISSE D EPARGNE LOIRE CENTRE
14506;AGRIFRPP845;CREDIT AGRICOLE LOIRE HAUTE LOIRE
14508;BAERMCMCXXX;BANK JULIUS BAER (MONACO) S A M
14518;FTNOFRP1XXX;FORTUNEO
14559;IIDFFR21XXX;ING DIRECT N V
14568;HANDFRPPXXX;HANDELSBANKEN
14578;ALSOFR21XXX;ALSOLIA
14588;CONUFR21XXX;COMPAGNIE FINANCIERE DE BOURBON
14590;COGRFR21XXX;COGERA SOCIETE ANONYME
14607;CCBPFRPPMAR;BANQUE POPULAIRE PROVENCALE ET CORSE
14628;GRCSFRP1XXX;BANQUE DU GROUPE CASINO
14633;WUIGFRP1XXX;WESTERN UNION INTERNATIONAL BANK GMBH
14643;HEGVFRP1XXX;HENDERSON GLOBAL INVESTORS LIMITED
14648;CAAIFR21XXX;CAPITOLE FINANCE TOFINSO
14658;CIERFRP1XXX;CIF EUROMORTGAGE
14670;BMFCFR21XXX;BMW FINANCE
14688;STLEFRP1XXX;STAR LEASE
14690;MONNFR22;MONABANQ
14698;COUTMCM1XXX;COUTTS & CO (MONACO)
14706;AGRIFRPP847;CREDIT AGRICOLE ATLANTIQUE VENDEE
14707;CCBPFRPPMTZ;BANQUE POPULAIRE LORRAINE CHAMPAGNE
14749;SFBSFRP1XXX;STE FIRE DE BANQUE SOFIB
14753;MLNAFRP1XXX;MERRILL LYNCH PIERCE FENNER SMITH SAS
14758;CRLLFRP1;AMUNDI TENUE DE COMPTES
14768;CADFFRP1XXX;NATIXIS FINANCEMENT
14773;EUOCFRP1XXX;EUROCORPORATE
14800;UNFCFRP1XXX;UNION NOTARIALE FIRE CREDIT UNOFI CREDIT
14806;AGRIFRPP848;CREDIT AGRICOLE CENTRE LOIRE
14818;BREUFR22;BANCA REGIONALE EUROPEA SPA
14820;DUBUFR2LXXX;DUBUS S A
14830;SBGDFRP1XXX;STE DE BOURSE GILBERT DUPONT
14833;CITIFRPP;GE CAPITAL COMMERCIAL DISTRIBUTION FINAN
14848;FPSSNCN1XXX;GE FINANCEMENT PACIFIQUE SAS
14860;CMCIFRPBXXX;CM CIC SECURITIES
14879;BKIDFRPPXXX;BANK OF INDIA
14888;FNNOFRP1XXX;BPCE INTERNATIONAL ET OUTREMER BPCE IOM
14889;CEPANCNMXXX;BANQUE DE NOUVELLE CALEDONIE
14908;POSOMCM1XXX;BANCA POPOLARE DI SONDRIO SUISSE
14918;DEPAFRP1XXX;DEPFA BANK PLC
14928;SFPTFR21XXX;SOCIETE FINANCIERE DE PAIEMENTS
14940;CFFIFR21;COFIDIS
14948;INRPFRP1;NATIXIS INTEREPARGNE
14958;SFSSFR21XXX;SIEMENS FINANCIAL SERVICES SAS
14989;KOEXFRPPXXX;KOREA EXCHANGE BANK
14998;DOMFFRP1XXX;DOMOFINANCE
15000;XPARFRPPXXX;EURONEXT PARIS SA
15008;JYSKFR21XXX;JYSKE BANK AS
15068;PICTFRPPXXX;PICTET ET CIE (EUROPE) S A
15078;MFFMFR21XXX;MFF
15128;VOWAFR21XXX;VOLKSWAGEN BANK GMBH
15135;CEPAFRPP513;CAISSE D EPARGNE CHAMPAGNE ARDENNES
15138;OCFOPFT1XXX;OCEANIENNE DE FINANCEMENT (OFINA)
